ticker,date,open,high,low,close,volume,closeadj,closeunadj,lastupdated
XOM,2018-12-31,68.32,69.145,67.66,68.19,15807007.0,56.113,68.19,2022-02-09
XOM,2018-12-28,69.18,69.58,67.82,68.17,19706697.0,56.096,68.17,2022-02-09
XOM,2018-12-27,67.74,68.94,66.08,68.94,22077044.0,56.73,68.94,2022-02-09
XOM,2018-12-26,66.18,68.655,64.65,68.64,24887738.0,56.483,68.64,2022-02-09
XOM,2018-12-24,66.87,67.53,65.44,65.51,14262825.0,53.907,65.51,2022-02-09
XOM,2018-12-21,68.14,70.37,67.67,68.12,47287319.0,56.055,68.12,2022-02-09
XOM,2018-12-20,70.09,70.66,68.05,68.63,28723650.0,56.475,68.63,2022-02-09
XOM,2018-12-19,72.45,73.27,70.295,70.78,21678810.0,58.244,70.78,2022-02-09
XOM,2018-12-18,73.63,73.86,71.62,72.0,18676668.0,59.248,72.0,2022-02-09
XOM,2018-12-17,75.26,75.6,73.48,74.04,15462727.0,60.927,74.04,2022-02-09
XOM,2018-12-14,76.72,76.87,75.09,75.58,12668825.0,62.194,75.58,2022-02-09
XOM,2018-12-13,76.03,77.22,75.95,76.98,13749586.0,63.346,76.98,2022-02-09
XOM,2018-12-12,78.04,78.2,76.015,76.02,14559082.0,62.556,76.02,2022-02-09
XOM,2018-12-11,77.7,77.8,75.68,76.68,13732947.0,63.099,76.68,2022-02-09
XOM,2018-12-10,77.86,77.86,74.797,76.54,17942839.0,62.984,76.54,2022-02-09
XOM,2018-12-07,79.39,80.36,77.335,77.64,16099725.0,63.889,77.64,2022-02-09
XOM,2018-12-06,78.0,78.44,76.92,78.39,21658669.0,64.506,78.39,2022-02-09
XOM,2018-12-04,81.38,81.95,79.35,79.43,18540331.0,65.362,79.43,2022-02-09
XOM,2018-12-03,80.24,81.46,80.14,81.22,19337444.0,66.835,81.22,2022-02-09
XOM,2018-11-30,78.45,79.6,78.32,79.5,14039069.0,65.419,79.5,2022-02-09
XOM,2018-11-29,78.22,79.53,78.195,79.06,9958877.0,65.057,79.06,2022-02-09
XOM,2018-11-28,77.04,78.45,76.84,78.45,11482133.0,64.555,78.45,2022-02-09
XOM,2018-11-27,76.57,77.45,76.4,77.05,10344500.0,63.403,77.05,2022-02-09
XOM,2018-11-26,76.24,77.32,76.12,76.98,13741093.0,63.346,76.98,2022-02-09
XOM,2018-11-23,76.05,76.2,74.7,75.49,10875425.0,62.12,75.49,2022-02-09
XOM,2018-11-21,77.43,78.38,77.26,77.56,9685316.0,63.823,77.56,2022-02-09
XOM,2018-11-20,78.42,78.9,76.37,76.97,15533723.0,63.338,76.97,2022-02-09
XOM,2018-11-19,78.46,79.36,78.43,79.22,9428769.0,65.189,79.22,2022-02-09
XOM,2018-11-16,78.37,79.19,78.1,78.96,13587799.0,64.975,78.96,2022-02-09
XOM,2018-11-15,76.67,78.19,75.91,78.19,18976021.0,64.342,78.19,2022-02-09
XOM,2018-11-14,78.86,79.09,76.75,77.39,18552107.0,63.683,77.39,2022-02-09
XOM,2018-11-13,79.8,79.85,77.64,78.0,15530229.0,64.185,78.0,2022-02-09
XOM,2018-11-12,81.66,81.73,79.73,79.83,11906573.0,65.691,79.83,2022-02-09
XOM,2018-11-09,80.26,81.4,79.695,80.87,15070124.0,66.547,80.87,2022-02-09
XOM,2018-11-08,83.13,83.745,81.535,81.71,16865480.0,66.563,81.71,2022-02-09
XOM,2018-11-07,82.21,83.14,81.66,83.03,12699787.0,67.638,83.03,2022-02-09
XOM,2018-11-06,81.74,82.1,81.35,81.99,9063282.0,66.791,81.99,2022-02-09
